,LLT -    2.0°-17.50m/s,, ,,,,,,q,MAC,Cl,alpha,area
-0.7526185,0.123631, ,5.923622508,0.165348445,,,,,197.990625,0.242,0.503,2,0.347
-0.7247051,0.217706, ,10.43110678,0.477307627,,,,,,,,,
-0.678947,0.2902703, ,13.90793314,0.868913422,,,,,,,,,
-0.6164709,0.353666, ,16.94545768,1.315907989,,,Lift From Integration,,,,Lift from constants (N),,
-0.5388154,0.4122236, ,19.75117079,1.795835701,,,34.34075491,,,,34.55748168,,
-0.4478924,0.4668781, ,22.36987181,2.280644223,,,,,,,,,
-0.3459408,0.5183559, ,24.83636528,2.743670789,,,,,,,,,
-0.2354709,0.5663664, ,27.13672748,3.155127603,,,,,,,,,
-0.1192031,0.6076192, ,29.11330305,3.470395975,,,,,,,,,
-1.23E-15,0.6300988, ,30.19038456,3.59878743,,,,,,,,,
0.1192031,0.6076192,,29.11330305,3.384939696,,,,,,,,,
0.2354709,0.5663664,,27.13672748,2.997791571,,,,,,,,,
0.3459408,0.5183559,,24.83636528,2.532107179,,,,,,,,,
0.4478924,0.4668781,,22.36987181,2.033935855,,,,,,,,,
0.5388154,0.4122236,,19.75117079,1.533787043,,,,,,,,,
0.6164709,0.353666,,16.94545768,1.058686108,,,,,,,,,
0.678947,0.2902703,,13.90793314,0.636400596,,,,,,,,,
0.7247051,0.217706,,10.43110678,0.291167656,,,,,,,,,
0.7526185,0.123631,,5.923622508,,,,,,,,,,
