Alpha,T1_Re0.500_M0.00_N9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
-5,-0.6263502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
-4.5,-0.5515727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
-4,-0.4800222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
-3.5,-0.4034888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
-3,-0.33339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
-2.5,-0.2684327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
-2,-0.21001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
-1.5,-0.1559157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
-1,-0.1035674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
-0.5,-0.05169749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
0,2.19E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
0.5,0.05169763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
1,0.1035679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
1.5,0.1559156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
2,0.210007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
2.5,0.2684262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
3,0.3333897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
3.5,0.4034293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
4,0.480037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
4.5,0.5516144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
5,0.6263932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
5.5,0.6797871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
6,0.7219488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
6.5,0.7632998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
7,0.804256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
7.5,0.8450152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
8,0.8832036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
8.5,0.9254665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
9,0.9610649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
9.5,1.004366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
10,1.04524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
10.5,1.072371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
11,1.107408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
11.5,1.140555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
12,1.166356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
12.5,1.185771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
13,1.20207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
13.5,1.205872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
14,1.168375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
14.5,1.168461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
15,1.153687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
15.5,1.124032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
16,1.07628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
16.5,0.9901256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
18,0.7521012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
18.5,0.7683432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
19,0.7862132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
19.5,0.7915366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
20,0.8044966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
20.5,0.8181684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
21,0.8329241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
21.5,0.848048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
22,0.863158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
22.5,0.8790191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
23,0.8948018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
23.5,0.9106091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
24,0.9264539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
25,0.9526681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
25.5,0.9667104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
26,0.9817105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
26.5,0.9971149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
27,1.011189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
27.5,1.024934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
28,1.038355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
28.5,1.051412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
29,1.06405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
29.5,1.076175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
30,1.086089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
